Bid Number,Source ID,Bid Status,Quantity,Start Date,End Date,Buyer Name,Buyer Ministry,Buyer Organisation,Total Tech Sellers,Qualified Sellers,Disqualified Sellers,Financial L1 Seller,Financial L1 Price
GEM/2026/B/7716021,9526056,Active,15,26-06-2026 20:50:21,17-07-2026 21:00:00,Atharva Sanjay Marodkar,Ministry Of Petroleum And Natural Gas,Bharat Petroleum Corporation Ltd,0,0,0,N/A,N/A
GEM/2026/B/7703516,9512124,Active,10,24-06-2026 12:22:10,15-07-2026 15:00:00,Yasobanta Rout,Ministry Of Mines,Hindustan Copper Limited,0,0,0,N/A,N/A
GEM/2026/B/7725902,9537631,Active,108,30-06-2026 13:37:33,06-08-2026 15:00:00,Ajai Kumar Srivastava,,U P State Sugar Corporation Ltd,0,0,0,N/A,N/A
GEM/2026/B/7714963,9524907,Active,74,26-06-2026 17:03:05,17-07-2026 17:00:00,Ashish Gupta,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2026/B/7746182,9560455,Active,35,04-07-2026 14:46:04,20-07-2026 15:00:00,Anish Kumar Srivastava,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),5,1,4,"ASIAN INDUSTRIAL VALVES AND INSTRUMENTS (MSE,MII) ( MSE Social Category:OBC ) Under PMA",` 1251694.92
GEM/2026/B/7746705,9561035,Active,131,04-07-2026 16:32:48,18-07-2026 18:00:00,Anil Kumar Singh,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2026/B/7718508,9528933,Active,66,27-06-2026 17:34:42,14-07-2026 16:00:00,Narendra Kumar,,N/a,11,7,4,ESS ESS TRADERS ( MSE Social Category:General ) Under PMA,` 466529.00
GEM/2026/B/7736890,9549935,Active,5,02-07-2026 16:05:33,13-07-2026 17:00:00,Arindam Das,Ministry Of Steel,Iisco Steel Plant,0,0,0,N/A,N/A
GEM/2026/B/7708204,9517313,Active,2,26-06-2026 21:13:17,17-07-2026 11:00:00,Bhaiya Ram Patel,,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (uprvunl) Lucknow,0,0,0,N/A,N/A
GEM/2026/B/7664591,9468530,Active,62,22-06-2026 16:49:43,21-07-2026 21:00:00,Balai Chandra Kar,Ministry Of Power,Ntpc Limited,0,0,0,N/A,N/A
GEM/2026/B/7771774,9589409,Active,75,14-07-2026 10:17:32,25-07-2026 11:00:00,Keerthi Coca,Ministry Of Steel,Rashtriya Ispat Nigam Limited,0,0,0,N/A,N/A
GEM/2026/B/7730297,9542550,Active,36,02-07-2026 16:45:30,22-07-2026 15:00:00,Yasobanta Rout,Ministry Of Mines,Hindustan Copper Limited,0,0,0,N/A,N/A
GEM/2026/B/7801066,9622633,Active,2,17-07-2026 14:02:39,30-07-2026 15:00:00,Kalpeshkumar Anilkumar Patel,,Directorate Of Employment & Training,0,0,0,N/A,N/A
GEM/2026/B/7815185,9639061,Active,25,21-07-2026 14:42:02,31-07-2026 17:00:00,***********,Ministry Of Defence,Bharat Earth Movers Limited (beml),1,1,0,HANSA-FLEX INDIA PRIVATE LIMITED (MSE) ( MSE Social Category:General ) Under PMA,` 40175.00
GEM/2026/B/7814604,9638402,Active,1,21-07-2026 13:57:45,08-08-2026 15:00:00,Pralay Shankar Mohanty,Ministry Of Heavy Industries And Public Enterprises,Bharat Heavy Electricals Limited (bhel),0,0,0,N/A,N/A
GEM/2026/B/7802250,9623934,Active,94,17-07-2026 16:32:50,27-07-2026 17:00:00,Pradeep Kumar,,N/a,0,0,0,N/A,N/A
GEM/2026/B/7736512,9549510,Active,51,04-07-2026 12:31:26,27-07-2026 14:00:00,Janipalli Swarna Kumari,Pmo,Directorate Of Purchase And Stores,0,0,0,N/A,N/A
GEM/2026/B/7800968,9622523,Active,4,17-07-2026 13:48:57,27-07-2026 14:00:00,Bharat Yadav,,Uttar Pradesh Rajya Vidyut Utpadan Nigam Limited (uprvunl) Lucknow,1,1,0,M/S ANJALI ENGINEERING WORKS Under PMA,` 228740.00
GEM/2026/B/7747857,9562338,Active,4,11-07-2026 17:48:26,27-07-2026 13:00:00,Rahul Kumar,Ministry Of Power,Damodar Valley Corporation,0,0,0,N/A,N/A
GEM/2026/B/7792794,9613315,Active,165,15-07-2026 19:04:17,27-07-2026 14:00:00,Sriparna Santra,Ministry Of Steel,Durgapur Steel Plant,0,0,0,N/A,N/A
GEM/2026/B/7780587,9599593,Active,15,16-07-2026 18:15:27,27-07-2026 19:00:00,Aman Kumar,Ministry Of Steel,Bokaro Steel Plant,0,0,0,N/A,N/A
GEM/2026/B/7819002,9643340,Active,71,22-07-2026 11:45:41,01-08-2026 12:00:00,Faraz Moiz,,U P State Sugar Corporation Ltd,0,0,0,N/A,N/A
GEM/2026/B/7742366,9556074,Active,1,15-07-2026 12:04:34,10-08-2026 14:00:00,Bodh Priya Ashok,Ministry Of Power,N/a,0,0,0,N/A,N/A
GEM/2026/B/7694804,9502382,Active,19,13-07-2026 17:21:06,06-08-2026 18:00:00,Akhil Raj,Pmo,Uranium Corporation Of India Limited,0,0,0,N/A,N/A
GEM/2026/B/7790803,9611095,Active,24,18-07-2026 16:54:19,08-08-2026 17:00:00,Km Rashmi,Ministry Of Chemicals And Fertilizers,Rashtriya Chemicals And Fertilizers Limited (rcf),0,0,0,N/A,N/A
